limit,sex,education,marital,age,default
360000,female,grad,married,31,0
490000,female,undergrad,married,30,0
40000,female,undergrad,married,44,0
100000,female,highschool,married,36,0
20000,female,undergrad,single,24,0
500000,female,undergrad,married,32,0
50000,male,undergrad,single,28,0
260000,male,grad,single,34,0
140000,female,undergrad,married,49,0
260000,male,grad,single,49,0
200000,female,grad,single,32,0
50000,female,undergrad,single,28,0
200000,female,grad,single,32,0
20000,female,undergrad,single,26,0
10000,male,highschool,single,24,0
30000,male,undergrad,single,34,0
170000,female,highschool,married,40,0
50000,female,highschool,married,45,0
420000,female,grad,single,34,1
70000,female,undergrad,married,30,0
300000,female,undergrad,married,31,0
500000,male,undergrad,single,31,0
20000,female,undergrad,single,49,0
280000,female,grad,single,30,0
150000,male,grad,married,41,0
180000,male,undergrad,married,35,0
50000,male,grad,single,25,0
150000,female,undergrad,single,24,0
30000,male,undergrad,single,26,0
250000,male,grad,married,37,0
300000,female,highschool,married,39,0
80000,male,undergrad,married,30,0
50000,female,highschool,married,58,0
120000,male,highschool,married,36,0
330000,female,undergrad,married,39,1
140000,female,undergrad,other,30,0
150000,female,undergrad,married,50,0
330000,male,grad,married,57,0
380000,female,grad,married,34,0
50000,male,undergrad,married,32,0
120000,female,grad,single,26,0
150000,female,undergrad,married,37,0
130000,female,undergrad,married,38,0
160000,female,undergrad,single,27,0
30000,female,highschool,married,44,0
370000,male,undergrad,married,33,0
180000,female,grad,married,51,0
50000,male,undergrad,married,54,0
170000,female,grad,single,34,1
60000,female,undergrad,married,25,1
20000,male,undergrad,single,34,0
20000,male,undergrad,single,23,1
50000,female,grad,single,25,0
150000,female,highschool,single,52,0
170000,female,undergrad,married,34,0
30000,female,undergrad,married,43,0
50000,female,grad,single,25,1
100000,male,undergrad,single,25,0
500000,male,grad,married,53,0
180000,male,grad,single,35,0
280000,male,grad,single,33,0
50000,female,undergrad,single,27,0
360000,female,undergrad,married,49,0
170000,male,grad,married,44,0
90000,male,undergrad,married,36,1
50000,female,undergrad,married,25,0
20000,male,grad,married,24,1
220000,female,undergrad,married,34,0
200000,female,other,single,25,0
70000,female,grad,single,29,0
400000,female,grad,married,28,1
90000,female,grad,married,36,0
50000,female,highschool,single,54,1
60000,male,highschool,married,31,1
50000,female,highschool,married,47,0
100000,male,grad,married,52,1
180000,female,undergrad,married,34,1
210000,female,grad,married,42,0
430000,female,grad,married,35,0
20000,female,undergrad,married,41,0
40000,female,undergrad,married,51,1
180000,female,grad,single,27,0
140000,female,grad,single,28,0
30000,female,highschool,single,45,0
210000,male,grad,married,36,0
90000,male,undergrad,married,35,1
160000,female,grad,married,29,0
130000,female,undergrad,single,27,0
10000,female,undergrad,single,21,1
170000,male,undergrad,married,39,0
20000,male,undergrad,single,29,0
50000,female,grad,single,29,0
360000,male,grad,married,59,0
50000,female,grad,single,23,0
80000,female,grad,single,25,0
160000,male,grad,single,32,0
380000,male,grad,married,37,0
220000,female,grad,single,32,0
50000,male,highschool,single,54,0
140000,female,undergrad,single,50,0
270000,male,grad,single,48,0
50000,male,undergrad,single,26,0
100000,female,undergrad,single,25,1
360000,male,undergrad,single,28,0
20000,male,undergrad,single,39,0
50000,male,undergrad,single,27,0
360000,female,undergrad,single,46,0
20000,female,undergrad,married,50,0
100000,male,highschool,single,42,0
80000,male,grad,single,27,0
140000,male,highschool,married,39,0
390000,female,grad,married,28,0
350000,male,grad,married,39,0
170000,male,undergrad,married,48,0
270000,female,highschool,married,37,0
460000,female,highschool,married,42,0
200000,female,highschool,single,37,0
450000,female,grad,single,28,0
240000,male,grad,married,47,0
260000,female,grad,single,29,0
110000,female,undergrad,married,34,0
50000,male,undergrad,married,51,0
250000,female,highschool,other,49,0
380000,male,grad,married,41,1
110000,female,undergrad,married,28,0
200000,female,grad,married,44,0
500000,female,grad,single,41,0
260000,female,undergrad,married,35,0
270000,female,undergrad,married,38,0
150000,male,undergrad,single,29,0
30000,female,highschool,other,42,0
290000,female,grad,single,46,0
200000,male,undergrad,single,30,0
210000,female,grad,single,35,0
100000,female,undergrad,married,49,0
50000,female,undergrad,married,45,0
210000,female,highschool,single,56,0
240000,male,undergrad,married,44,0
140000,female,undergrad,single,25,0
50000,male,undergrad,married,49,0
360000,female,grad,married,27,1
180000,male,undergrad,married,47,0
100000,male,undergrad,single,36,0
90000,female,undergrad,married,29,0
90000,female,grad,married,37,0
90000,male,undergrad,married,52,0
30000,male,highschool,single,25,1
300000,male,undergrad,single,29,0
20000,male,highschool,married,36,0
30000,female,grad,single,25,1
50000,female,grad,single,27,0
50000,male,highschool,married,45,0
30000,female,grad,single,22,1
60000,female,grad,single,28,0
200000,female,grad,single,25,1
450000,female,undergrad,married,39,0
140000,female,undergrad,married,32,0
120000,female,undergrad,married,47,0
270000,female,undergrad,single,45,0
130000,male,grad,single,46,1
50000,male,undergrad,married,27,0
220000,female,undergrad,married,52,0
50000,male,undergrad,married,26,0
20000,male,undergrad,single,36,0
110000,male,highschool,married,54,0
70000,female,grad,single,36,0
380000,female,highschool,married,38,0
160000,male,other,single,26,0
70000,male,highschool,other,35,0
90000,female,undergrad,single,29,0
130000,male,highschool,other,52,1
240000,female,grad,single,26,0
120000,male,highschool,married,32,0
240000,female,grad,married,44,0
300000,male,grad,single,45,0
100000,female,undergrad,married,40,0
200000,female,grad,single,25,0
50000,male,undergrad,married,39,0
100000,female,grad,married,40,0
500000,male,grad,single,39,0
20000,male,other,single,50,0
280000,female,grad,single,39,0
160000,female,grad,single,23,0
30000,male,undergrad,single,21,0
50000,male,grad,other,45,0
20000,male,grad,single,24,0
140000,male,grad,single,32,0
130000,male,highschool,single,27,0
100000,female,undergrad,single,23,0
100000,male,undergrad,single,25,0
50000,male,undergrad,single,26,1
360000,male,grad,single,31,0
10000,male,highschool,other,42,1
50000,male,highschool,married,65,0
10000,male,undergrad,single,24,0
210000,male,grad,married,38,1
320000,male,undergrad,married,31,0
70000,female,undergrad,single,23,0
160000,female,undergrad,single,24,1
180000,male,undergrad,married,36,1
70000,female,undergrad,married,27,1
280000,female,undergrad,single,30,0
40000,male,grad,single,29,0
50000,female,highschool,single,51,0
80000,female,other,married,25,0
30000,male,highschool,single,42,1
20000,female,undergrad,married,24,0
130000,female,undergrad,single,42,0
10000,male,undergrad,single,25,0
70000,female,grad,single,25,0
280000,male,grad,single,34,0
300000,male,grad,married,34,0
50000,female,undergrad,married,40,1
230000,male,undergrad,married,29,0
80000,female,undergrad,married,39,0
50000,male,grad,single,38,1
470000,female,undergrad,single,40,0
210000,male,undergrad,single,39,0
200000,female,grad,single,32,0
50000,male,undergrad,married,46,0
300000,female,undergrad,married,37,0
500000,female,grad,married,33,0
150000,female,undergrad,married,36,0
50000,male,undergrad,single,25,0
270000,male,grad,married,37,1
60000,female,undergrad,single,27,1
200000,female,highschool,single,31,0
50000,female,undergrad,single,23,0
140000,female,grad,single,31,1
120000,female,undergrad,single,25,0
20000,male,undergrad,married,29,0
210000,female,grad,single,30,0
70000,female,highschool,single,27,0
230000,male,undergrad,single,37,1
270000,female,undergrad,married,33,0
20000,male,grad,single,56,0
120000,female,grad,single,30,0
140000,female,grad,single,24,0
180000,female,undergrad,single,33,0
190000,male,grad,married,36,0
100000,female,undergrad,single,29,0
50000,female,grad,single,26,0
150000,male,highschool,married,44,0
250000,female,undergrad,married,38,0
220000,female,grad,married,24,1
200000,male,highschool,single,28,0
250000,female,undergrad,married,44,0
280000,female,grad,single,32,0
30000,male,highschool,married,64,1
80000,female,undergrad,single,29,0
380000,female,undergrad,single,31,0
350000,female,undergrad,married,32,0
160000,male,grad,single,48,1
70000,male,highschool,married,45,1
150000,male,grad,married,33,0
160000,female,grad,married,39,0
40000,male,undergrad,single,27,1
350000,female,undergrad,single,30,0
50000,male,highschool,single,27,1
220000,female,grad,married,38,0
200000,female,grad,married,26,0
390000,male,grad,married,41,0
330000,male,grad,single,32,0
100000,male,grad,married,60,1
70000,female,undergrad,married,58,0
240000,female,grad,married,41,0
30000,male,undergrad,single,23,0
30000,female,undergrad,married,43,1
160000,male,undergrad,single,29,0
120000,female,undergrad,married,40,0
10000,female,undergrad,married,55,1
470000,male,grad,single,33,0
200000,female,undergrad,single,26,1
50000,male,other,single,22,0
90000,female,grad,single,29,0
220000,female,grad,married,35,0
40000,female,undergrad,single,23,1
200000,male,highschool,married,50,1
120000,male,undergrad,married,43,0
210000,male,grad,married,43,1
30000,female,undergrad,single,22,0
110000,male,undergrad,married,54,1
280000,male,undergrad,married,35,0
150000,female,grad,married,31,0
20000,male,highschool,single,49,0
80000,male,undergrad,single,25,0
50000,male,undergrad,married,43,1
170000,male,grad,single,36,0
200000,male,grad,married,45,1
300000,male,grad,single,38,0
100000,male,undergrad,married,46,1
80000,male,grad,single,28,0
30000,male,grad,married,32,1
80000,female,grad,married,35,0
60000,male,grad,single,30,1
110000,female,undergrad,single,24,0
10000,female,undergrad,married,46,1
290000,female,highschool,single,32,0
30000,male,grad,single,26,0
60000,male,undergrad,single,45,0
150000,male,highschool,married,49,0
750000,female,highschool,married,40,0
30000,male,undergrad,married,29,0
160000,female,undergrad,single,51,0
50000,female,undergrad,married,31,1
50000,female,grad,single,42,0
160000,male,undergrad,single,30,0
150000,female,grad,single,23,0
30000,female,undergrad,married,42,0
350000,male,grad,married,35,0
20000,female,grad,single,24,0
50000,male,undergrad,single,39,0
180000,male,highschool,married,27,1
30000,male,highschool,single,23,1
100000,male,undergrad,married,52,0
20000,male,undergrad,single,24,0
80000,male,grad,single,29,0
150000,male,undergrad,married,43,0
230000,female,grad,single,30,0
50000,male,grad,married,25,0
210000,female,grad,single,39,0
50000,male,undergrad,other,41,0
240000,female,undergrad,married,37,0
500000,female,highschool,single,40,0
210000,male,undergrad,single,28,0
160000,female,undergrad,married,40,0
250000,female,grad,single,48,1
500000,female,grad,single,46,0
100000,male,undergrad,married,35,1
20000,female,undergrad,single,26,0
30000,female,undergrad,married,30,0
50000,female,grad,single,27,0
160000,male,undergrad,single,27,0
50000,male,highschool,single,28,0
90000,female,highschool,married,25,1
20000,male,undergrad,single,28,0
50000,male,grad,married,44,0
230000,female,highschool,single,39,0
150000,male,undergrad,single,31,0
50000,male,grad,single,45,0
280000,female,grad,single,36,0
500000,female,grad,married,37,0
90000,female,undergrad,married,47,0
360000,male,grad,single,29,0
140000,male,undergrad,single,50,0
140000,male,grad,single,44,0
230000,female,grad,single,44,1
50000,female,undergrad,single,25,0
130000,female,undergrad,married,50,0
330000,female,grad,single,44,1
210000,male,grad,single,30,0
10000,female,grad,married,27,0
50000,female,undergrad,married,54,0
100000,female,grad,married,46,0
70000,female,highschool,married,26,0
50000,female,undergrad,married,45,0
170000,female,grad,married,28,0
100000,female,undergrad,married,50,1
80000,male,grad,married,36,0
150000,male,highschool,single,27,0
50000,female,highschool,single,23,0
80000,male,undergrad,married,34,0
120000,female,grad,single,24,0
470000,male,highschool,married,47,0
80000,female,highschool,married,52,0
60000,male,grad,single,30,0
80000,male,undergrad,single,42,0
50000,male,undergrad,married,57,1
500000,male,grad,married,43,1
110000,male,undergrad,single,26,0
80000,female,undergrad,married,44,0
50000,male,undergrad,single,27,1
400000,female,grad,married,44,1
90000,female,grad,single,29,0
150000,female,other,married,53,0
360000,female,grad,married,35,0
170000,male,highschool,married,29,0
110000,male,highschool,single,37,1
220000,female,grad,single,29,0
200000,female,undergrad,married,36,0
500000,female,grad,single,47,0
340000,male,grad,married,48,0
180000,female,undergrad,single,32,0
490000,male,grad,single,44,0
60000,female,undergrad,single,26,0
250000,male,grad,single,30,0
20000,female,undergrad,single,30,1
170000,male,highschool,married,39,0
160000,female,highschool,single,37,1
80000,female,grad,single,25,0
380000,female,grad,married,36,0
70000,female,highschool,married,33,1
80000,male,grad,single,29,0
380000,male,undergrad,married,58,0
230000,female,grad,single,24,0
130000,male,undergrad,single,28,1
160000,female,grad,married,35,0
50000,female,highschool,married,42,0
180000,male,grad,married,45,0
220000,female,undergrad,single,31,0
200000,female,highschool,married,41,1
520000,male,highschool,married,41,1
30000,male,undergrad,single,46,1
150000,female,undergrad,other,41,0
210000,female,undergrad,married,32,0
50000,female,undergrad,single,36,1
20000,female,undergrad,married,37,0
290000,male,grad,married,44,0
50000,female,undergrad,single,32,0
130000,female,highschool,married,42,0
60000,male,undergrad,single,24,0
20000,male,grad,single,25,0
160000,female,undergrad,single,35,0
250000,female,highschool,married,39,0
80000,male,highschool,married,38,0
60000,female,undergrad,married,33,0
80000,male,undergrad,single,30,1
60000,male,undergrad,single,25,0
410000,male,grad,married,38,0
240000,female,grad,single,34,0
30000,male,highschool,single,46,1
200000,female,undergrad,single,31,0
180000,female,undergrad,married,46,0
100000,male,undergrad,single,32,0
50000,female,other,single,42,1
60000,female,highschool,single,45,1
50000,female,grad,single,26,1
240000,female,grad,married,34,0
220000,female,grad,single,29,0
40000,male,highschool,single,42,0
80000,female,grad,single,23,0
320000,male,undergrad,single,52,0
420000,male,undergrad,married,43,0
500000,male,undergrad,married,48,0
290000,female,undergrad,single,24,0
190000,male,grad,married,45,0
100000,male,grad,single,33,1
230000,female,undergrad,single,26,0
50000,male,undergrad,married,36,0
210000,male,undergrad,married,43,0
90000,female,undergrad,single,24,1
480000,male,highschool,married,56,0
120000,male,grad,single,41,0
160000,male,undergrad,single,28,0
110000,male,undergrad,married,27,0
260000,female,undergrad,married,60,0
80000,male,grad,single,24,0
50000,male,undergrad,married,58,0
50000,female,undergrad,married,45,1
100000,female,undergrad,single,29,0
20000,male,highschool,married,56,1
260000,female,grad,married,44,0
680000,female,grad,married,42,0
50000,male,undergrad,single,25,0
170000,female,grad,single,27,0
210000,female,undergrad,married,37,1
500000,male,grad,married,51,0
180000,female,grad,married,45,0
340000,female,undergrad,married,37,0
160000,male,highschool,single,30,0
30000,female,undergrad,married,22,1
230000,female,undergrad,married,44,0
30000,male,highschool,single,22,0
480000,male,undergrad,single,33,0
360000,male,grad,married,44,0
500000,male,grad,married,50,1
220000,male,grad,married,37,0
100000,female,grad,single,29,1
200000,female,undergrad,single,31,0
200000,male,grad,single,40,0
90000,female,undergrad,single,23,0
50000,male,undergrad,single,24,0
80000,female,undergrad,married,42,1
260000,female,grad,married,48,0
80000,female,highschool,married,25,0
20000,male,grad,single,23,1
50000,male,undergrad,single,53,0
90000,female,grad,single,29,0
290000,male,undergrad,married,30,0
20000,female,highschool,married,30,0
230000,female,grad,single,36,0
360000,female,undergrad,single,34,0
50000,male,undergrad,single,40,1
80000,male,undergrad,single,36,0
100000,female,undergrad,single,56,1
390000,female,grad,single,28,0
120000,male,undergrad,married,52,0
20000,female,undergrad,single,35,0
150000,female,undergrad,single,24,1
20000,male,undergrad,married,38,1
20000,male,grad,married,44,0
250000,male,grad,single,44,0
230000,female,undergrad,single,25,0
20000,male,highschool,married,40,0
80000,female,undergrad,married,41,0
310000,female,undergrad,single,32,0
480000,male,grad,single,49,0
20000,female,grad,single,24,0
50000,male,highschool,married,22,0
190000,male,undergrad,married,35,1
50000,male,undergrad,single,41,0
50000,female,undergrad,single,29,1
50000,male,undergrad,married,38,0
300000,female,undergrad,married,45,0
60000,male,undergrad,married,33,0
260000,male,grad,single,28,0
190000,male,grad,single,27,0
500000,male,highschool,other,53,0
300000,female,grad,single,31,0
50000,male,undergrad,single,43,1
50000,female,highschool,married,27,1
130000,female,undergrad,married,42,0
80000,male,grad,married,38,0
50000,male,undergrad,other,37,0
50000,female,undergrad,single,31,0
120000,female,grad,single,27,0
220000,female,grad,single,33,0
50000,female,grad,single,35,0
90000,female,grad,single,29,0
360000,female,undergrad,single,43,0
280000,female,undergrad,married,49,0
270000,female,grad,married,57,0
200000,male,grad,married,31,0
80000,male,highschool,single,25,0
60000,female,grad,single,34,0
60000,female,undergrad,single,31,0
90000,female,grad,single,28,0
10000,female,highschool,other,48,0
140000,male,undergrad,single,36,0
280000,male,grad,married,42,1
140000,female,undergrad,married,24,0
110000,male,highschool,married,52,0
120000,female,highschool,single,26,0
130000,female,undergrad,married,39,0
290000,male,undergrad,married,48,0
80000,male,undergrad,married,33,0
50000,female,undergrad,single,22,1
450000,female,undergrad,married,33,0
50000,male,highschool,married,37,1
170000,female,grad,single,27,0
210000,male,undergrad,single,30,0
30000,female,undergrad,single,23,0
230000,male,grad,single,33,0
170000,male,undergrad,single,34,1
20000,female,undergrad,single,22,0
50000,male,highschool,married,54,0
100000,female,undergrad,married,42,0
140000,female,grad,single,27,0
100000,female,grad,single,30,0
150000,female,grad,married,37,1
60000,female,highschool,single,23,1
200000,male,highschool,married,33,1
200000,female,grad,single,27,0
50000,female,grad,single,35,1
60000,male,undergrad,single,32,0
50000,female,highschool,married,32,1
140000,female,undergrad,married,55,0
640000,female,grad,single,41,0
210000,male,undergrad,married,41,1
60000,female,undergrad,married,27,0
80000,female,undergrad,married,32,1
290000,female,grad,married,37,1
150000,female,grad,single,28,0
200000,female,undergrad,single,40,0
130000,female,undergrad,single,29,1
490000,male,undergrad,single,34,0
200000,male,undergrad,married,40,1
210000,female,grad,married,54,0
260000,female,grad,single,29,1
80000,male,undergrad,married,42,0
50000,male,highschool,married,53,0
210000,female,undergrad,single,30,0
210000,female,undergrad,other,52,0
40000,female,highschool,married,41,0
110000,female,undergrad,married,33,0
50000,male,grad,single,49,0
80000,female,grad,single,27,0
80000,female,grad,single,37,1
250000,female,grad,single,43,0
100000,female,grad,single,27,0
50000,male,undergrad,single,29,1
150000,female,grad,single,32,1
70000,male,undergrad,single,30,1
150000,male,grad,single,29,0
360000,female,grad,single,31,0
90000,male,undergrad,single,29,0
160000,female,undergrad,married,28,0
70000,female,undergrad,single,36,0
360000,female,undergrad,married,33,0
420000,female,grad,single,33,0
50000,female,undergrad,married,47,0
160000,female,undergrad,single,28,1
100000,female,undergrad,married,38,0
240000,female,highschool,married,41,0
390000,female,grad,single,42,0
80000,female,undergrad,married,37,0
360000,female,grad,single,29,1
210000,female,undergrad,married,34,0
320000,female,grad,single,28,1
20000,female,highschool,married,50,0
180000,female,undergrad,married,27,1
490000,male,undergrad,married,50,0
30000,female,undergrad,single,22,0
290000,female,grad,married,34,0
340000,female,undergrad,married,46,0
40000,female,undergrad,married,43,0
50000,male,undergrad,single,23,0
30000,male,undergrad,single,30,1
60000,female,grad,single,34,0
180000,male,other,single,29,0
160000,male,highschool,married,57,0
170000,male,grad,married,33,0
50000,male,undergrad,married,42,0
50000,male,undergrad,married,45,0
360000,female,grad,married,32,0
160000,female,undergrad,married,35,1
260000,female,grad,single,39,0
350000,female,grad,single,31,0
30000,female,undergrad,single,26,0
180000,female,undergrad,single,27,0
230000,female,grad,single,30,0
50000,female,grad,single,29,0
370000,male,undergrad,married,38,1
30000,male,undergrad,married,42,0
280000,male,grad,single,31,0
210000,female,undergrad,single,53,1
150000,female,grad,married,49,0
170000,female,grad,single,30,0
80000,male,undergrad,single,28,0
30000,female,undergrad,married,29,1
50000,male,undergrad,single,38,0
140000,female,undergrad,single,24,0
30000,female,grad,married,22,0
50000,male,undergrad,married,45,0
20000,male,grad,single,24,0
180000,male,grad,married,37,0
30000,male,undergrad,single,46,0
210000,male,undergrad,single,26,0
30000,male,undergrad,single,35,0
50000,female,undergrad,single,31,0
270000,female,grad,single,31,0
70000,female,undergrad,single,25,0
110000,male,undergrad,single,32,0
20000,female,grad,single,24,1
150000,male,undergrad,married,37,1
420000,male,grad,married,59,0
20000,male,grad,single,24,0
50000,male,undergrad,single,51,0
170000,male,grad,single,51,0
20000,male,highschool,married,35,0
360000,female,highschool,single,36,1
280000,female,grad,single,34,0
340000,male,grad,single,35,0
180000,male,grad,married,46,1
280000,male,grad,single,33,1
60000,male,grad,single,27,1
150000,male,grad,married,56,1
300000,female,grad,single,24,0
210000,female,grad,married,34,0
50000,male,grad,single,29,0
140000,female,grad,single,30,0
180000,female,grad,single,42,0
380000,male,highschool,married,44,0
10000,female,undergrad,single,22,0
50000,male,highschool,married,45,0
50000,female,undergrad,single,22,1
50000,female,grad,single,25,0
140000,female,undergrad,married,37,0
110000,male,undergrad,single,36,0
260000,male,undergrad,married,63,0
50000,female,undergrad,single,26,0
180000,female,grad,single,30,0
150000,female,undergrad,single,26,0
80000,female,grad,married,39,0
210000,female,grad,single,31,0
320000,male,grad,married,44,0
100000,female,undergrad,married,36,0
100000,female,grad,married,35,0
50000,male,grad,single,24,0
240000,male,highschool,married,43,1
300000,female,grad,single,33,0
200000,female,grad,single,30,1
270000,female,grad,married,31,0
150000,female,grad,single,26,1
260000,female,undergrad,single,29,0
50000,female,undergrad,single,24,0
130000,female,undergrad,married,32,1
80000,female,grad,single,28,0
20000,male,grad,single,32,0
410000,female,undergrad,married,50,0
80000,male,undergrad,married,36,1
160000,female,highschool,married,58,0
500000,female,grad,single,40,0
20000,female,undergrad,married,36,0
180000,female,other,married,34,0
200000,female,undergrad,married,45,1
310000,male,highschool,married,44,0
160000,male,grad,single,40,0
170000,female,highschool,married,61,0
500000,male,grad,married,45,1
140000,female,grad,single,28,0
80000,female,highschool,married,48,0
420000,female,undergrad,single,28,0
90000,female,highschool,other,24,0
280000,female,grad,single,31,0
20000,male,highschool,married,44,0
170000,female,undergrad,married,31,0
30000,female,undergrad,single,26,0
20000,male,highschool,single,26,0
280000,female,grad,married,49,1
30000,female,highschool,single,40,0
170000,female,grad,married,38,0
290000,female,grad,married,38,0
290000,female,grad,single,24,0
360000,female,undergrad,single,33,0
190000,female,undergrad,married,34,0
90000,male,undergrad,single,26,0
20000,male,highschool,single,48,0
290000,female,undergrad,married,42,0
460000,female,grad,single,38,0
230000,female,grad,single,26,0
170000,male,undergrad,married,37,0
180000,female,grad,married,40,0
20000,male,undergrad,single,27,0
50000,male,undergrad,married,25,0
200000,male,grad,single,30,0
80000,female,highschool,married,53,0
380000,male,grad,married,53,0
500000,male,grad,married,40,1
170000,male,undergrad,married,49,1
20000,female,grad,single,23,0
320000,female,undergrad,married,32,0
50000,female,grad,single,23,1
400000,male,undergrad,married,45,0
320000,female,grad,single,33,0
200000,male,grad,single,28,0
20000,male,grad,single,28,1
230000,female,highschool,single,42,1
130000,female,grad,single,29,1
310000,male,grad,single,28,1
50000,female,highschool,single,58,0
90000,male,highschool,single,45,0
260000,female,highschool,married,42,0
270000,male,grad,single,36,0
210000,female,grad,single,30,0
220000,female,undergrad,single,52,0
80000,male,undergrad,single,30,1
50000,female,highschool,single,61,0
20000,female,undergrad,married,39,0
20000,female,grad,single,23,0
100000,female,grad,single,25,0
320000,male,undergrad,single,32,0
200000,female,undergrad,single,31,0
80000,female,grad,single,25,0
120000,female,undergrad,married,34,1
20000,male,undergrad,single,43,0
200000,female,grad,married,35,0
140000,female,undergrad,married,24,0
50000,male,undergrad,married,52,1
60000,male,undergrad,single,25,0
50000,male,undergrad,single,30,0
200000,female,undergrad,single,33,0
20000,male,undergrad,married,53,1
200000,female,grad,married,32,0
350000,female,highschool,married,49,0
50000,female,highschool,married,40,1
120000,male,undergrad,married,44,1
150000,male,undergrad,married,35,0
180000,female,undergrad,married,48,0
120000,female,undergrad,single,27,1
130000,female,grad,married,55,0
80000,female,undergrad,married,41,0
390000,female,undergrad,married,49,0
50000,female,grad,single,27,1
50000,male,undergrad,single,31,0
320000,female,undergrad,married,29,1
50000,female,undergrad,other,48,1
200000,female,undergrad,married,43,0
30000,male,highschool,single,59,1
290000,female,undergrad,married,36,0
50000,female,highschool,married,57,0
50000,female,undergrad,married,52,0
140000,male,highschool,married,45,1
50000,male,undergrad,married,43,1
80000,female,undergrad,single,23,0
50000,female,grad,single,31,0
280000,female,undergrad,single,28,0
80000,female,undergrad,married,53,0
60000,female,undergrad,married,29,0
360000,female,grad,single,26,0
520000,male,undergrad,single,32,0
210000,female,undergrad,married,43,1
360000,male,grad,single,26,0
100000,male,grad,single,27,0
50000,female,highschool,married,45,1
280000,female,undergrad,married,31,0
120000,male,grad,single,26,0
50000,male,grad,single,29,1
360000,female,grad,married,48,0
140000,female,undergrad,married,35,1
130000,male,grad,single,25,0
240000,female,grad,married,33,0
70000,female,highschool,single,40,0
80000,male,undergrad,other,45,0
20000,female,other,other,35,0
180000,female,undergrad,single,29,1
80000,male,undergrad,single,25,0
300000,female,undergrad,single,39,0
70000,male,undergrad,single,31,0
180000,female,grad,married,30,1
150000,male,undergrad,married,33,0
30000,female,highschool,single,36,1
180000,female,grad,single,24,0
20000,male,undergrad,single,31,0
30000,male,undergrad,single,29,0
500000,male,grad,single,38,1
290000,female,grad,single,29,0
500000,female,undergrad,married,47,0
150000,male,undergrad,single,37,0
200000,male,grad,married,37,1
50000,female,undergrad,single,23,0
180000,female,grad,married,47,1
150000,female,grad,married,40,0
210000,female,undergrad,single,34,1
30000,female,other,single,23,0
360000,male,highschool,married,51,0
60000,female,undergrad,married,38,0
230000,female,undergrad,single,25,0
260000,male,highschool,married,39,0
210000,female,undergrad,single,34,0
200000,female,grad,single,42,0
20000,male,undergrad,married,37,0
30000,male,highschool,single,53,0
180000,female,grad,single,32,1
50000,male,undergrad,married,28,1
200000,male,highschool,married,43,0
140000,female,grad,single,27,0
250000,female,grad,single,42,0
200000,male,grad,married,43,0
80000,female,grad,single,30,0
60000,female,highschool,married,48,0
360000,female,grad,single,29,0
50000,male,grad,single,23,1
240000,female,highschool,single,36,0
330000,female,undergrad,single,30,1
50000,female,undergrad,single,25,1
110000,male,highschool,single,33,1
30000,male,highschool,single,29,1
20000,male,undergrad,married,36,1
20000,male,grad,single,43,1
160000,male,grad,single,31,0
80000,male,undergrad,single,24,0
180000,female,grad,married,47,0
80000,male,undergrad,single,27,0
150000,male,grad,single,30,0
130000,male,grad,single,29,1
240000,male,highschool,single,32,0
400000,female,grad,single,28,0
500000,male,undergrad,single,32,0
20000,male,grad,single,22,1
240000,male,grad,single,35,0
110000,female,undergrad,married,26,1
80000,female,undergrad,single,26,0
50000,male,highschool,married,58,0
330000,male,grad,married,37,0
200000,male,highschool,married,40,0
230000,female,other,married,32,0
140000,female,undergrad,single,26,1
360000,male,undergrad,married,34,0
70000,male,highschool,married,46,1
360000,female,undergrad,married,40,0
260000,female,grad,single,27,0
80000,female,highschool,other,29,0
180000,female,undergrad,single,48,0
190000,female,grad,single,30,0
190000,male,grad,married,50,1
260000,male,grad,married,39,0
200000,male,undergrad,single,27,1
340000,female,grad,single,47,1
200000,female,undergrad,married,47,0
150000,female,grad,married,36,0
100000,male,undergrad,married,40,0
100000,female,undergrad,married,45,1
200000,female,other,single,34,0
230000,male,grad,single,39,0
200000,male,grad,married,40,0
140000,male,grad,single,28,0
30000,male,undergrad,single,24,0
100000,female,undergrad,single,30,0
50000,male,undergrad,married,41,1
330000,female,grad,married,41,0
500000,female,grad,married,36,1
500000,female,undergrad,single,31,0
50000,female,undergrad,single,28,0
50000,female,grad,single,25,0
50000,female,undergrad,married,42,0
20000,male,undergrad,married,51,0
70000,female,highschool,single,24,0
60000,female,grad,single,34,1
230000,male,grad,single,36,0
60000,male,highschool,married,58,0
330000,male,undergrad,married,43,0
500000,female,grad,married,35,0
30000,female,highschool,married,45,0
160000,female,grad,married,53,0
110000,male,undergrad,single,40,0
50000,female,grad,single,35,0
50000,female,undergrad,married,43,0
20000,male,grad,single,25,1
50000,male,undergrad,single,23,0
210000,male,grad,single,28,0
500000,female,undergrad,married,30,0
320000,male,highschool,married,50,0
350000,female,grad,single,32,0
50000,male,highschool,single,27,0
50000,female,undergrad,married,34,0
20000,female,undergrad,married,33,1
80000,female,undergrad,married,47,1
170000,male,grad,single,35,0
50000,female,undergrad,married,24,1
400000,male,highschool,single,49,0
90000,female,undergrad,single,48,1
50000,male,undergrad,single,22,0
60000,female,grad,single,24,0
50000,female,undergrad,single,50,0
250000,female,grad,married,45,0
320000,female,highschool,single,53,1
260000,female,grad,single,27,0
20000,male,undergrad,single,24,0
