"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"22533",22533,1.86,"Premium","G","SI2",62.5,60,10572,7.9,7.8,4.91
"33593",33593,0.37,"Premium","G","VS2",60.1,59,833,4.68,4.64,2.8
"10881",10881,1.03,"Very Good","H","SI1",61.4,57,4879,6.45,6.54,3.99
"16970",16970,1.01,"Very Good","H","VVS1",61.1,58,6777,6.41,6.45,3.93
"34141",34141,0.33,"Ideal","F","VS2",60.5,55,854,4.55,4.47,2.73
"41569",41569,0.43,"Premium","D","VVS2",59.5,59,1238,4.97,4.95,2.95
"45020",45020,0.54,"Ideal","H","VS1",61.9,56,1637,5.24,5.2,3.23
"24593",24593,1.51,"Very Good","G","VS2",63.5,59,12906,7.2,7.13,4.55
"1210",1210,0.71,"Very Good","H","VVS1",62.7,57,2938,5.66,5.72,3.57
"4342",4342,0.78,"Very Good","E","VS1",60,56,3601,6,6.03,3.61
"52964",52964,0.24,"Very Good","F","IF",60.4,58,552,4.02,4.06,2.44
"46119",46119,0.52,"Ideal","G","VS1",62.1,54,1743,5.17,5.14,3.2
"37786",37786,0.57,"Very Good","I","SI2",62.1,57,1000,5.29,5.33,3.3
"10806",10806,1.15,"Premium","G","SI1",62,58,4863,6.77,6.68,4.17
"53833",53833,0.72,"Ideal","F","SI1",62,55,2737,5.76,5.79,3.58
"21418",21418,1.75,"Premium","H","VS2",61.5,58,9526,7.75,7.69,4.75
"38328",38328,0.32,"Premium","E","VVS1",60.8,58,1020,4.41,4.38,2.67
"14109",14109,1.2,"Ideal","J","VS1",61,57,5722,6.81,6.89,4.18
"40333",40333,0.4,"Ideal","F","VVS1",61.7,57,1128,4.72,4.75,2.92
"9602",9602,1.01,"Very Good","F","SI1",63.5,58,4632,6.29,6.24,3.98
"40007",40007,0.41,"Ideal","F","VS2",62.7,57,1107,4.78,4.73,2.98
"45729",45729,0.55,"Premium","E","SI1",60.8,58,1698,5.32,5.29,3.22
"15699",15699,0.29,"Ideal","H","IF",62.2,55,607,4.25,4.28,2.65
"7580",7580,1.06,"Very Good","I","SI1",62.8,56,4255,6.47,6.52,4.08
"10561",10561,1,"Premium","H","SI1",62.8,58,4816,6.38,6.36,4
"675",675,0.7,"Very Good","G","VVS2",62.9,59,2848,5.61,5.68,3.55
"38856",38856,0.4,"Ideal","G","VVS2",62.4,56,1050,4.74,4.72,2.95
"31268",31268,0.32,"Ideal","I","VS2",62.5,55,449,4.37,4.4,2.74
"35248",35248,0.3,"Premium","E","VVS1",60,60,895,4.35,4.38,2.62
"7607",7607,1,"Good","E","SI2",61.5,61,4258,6.35,6.43,3.93
"26248",26248,2,"Very Good","H","SI2",63,59,15694,7.94,8.07,5.04
"7951",7951,0.65,"Ideal","D","VVS1",61.9,56,4320,5.53,5.56,3.43
"22752",22752,1.54,"Good","H","VS1",63.1,57,10769,7.34,7.4,4.65
"30681",30681,0.4,"Ideal","E","SI1",62.2,55,737,4.71,4.75,2.94
"19367",19367,0.4,"Good","D","SI2",63.1,57,622,4.72,4.75,2.99
"49423",49423,0.71,"Very Good","G","SI2",63.2,59,2107,5.6,5.64,3.55
"2333",2333,0.76,"Ideal","E","SI1",61.8,57,3170,5.84,5.87,3.62
"5003",5003,0.91,"Premium","E","SI2",61.6,60,3743,6.14,6.1,3.77
"38878",38878,0.4,"Premium","D","VS2",59.1,57,1050,4.87,4.81,2.86
"14438",14438,1,"Good","F","VS1",64.8,59,5829,6.17,6.23,4.02
"45132",45132,0.54,"Very Good","F","VS1",61.8,59,1653,5.15,5.22,3.21
"20600",20600,1.6,"Ideal","J","VS1",62.1,57,8904,7.46,7.54,4.66
"42258",42258,0.46,"Premium","E","VS1",62,58,1294,4.95,4.98,3.08
"871",871,0.7,"Ideal","D","SI1",60.7,56,2872,5.72,5.75,3.48
"43513",43513,0.51,"Very Good","F","VS2",63,57,1423,5.05,5.11,3.2
"12492",12492,1.08,"Ideal","G","SI1",61.8,56,5256,6.55,6.58,4.06
"53875",53875,0.71,"Very Good","D","VS2",62.5,60,2745,5.61,5.65,3.52
"5080",5080,0.92,"Premium","G","SI1",61.5,60,3751,6.26,6.19,3.83
"40963",40963,0.51,"Premium","I","VS2",62.9,55,1179,5.12,5.08,3.21
"45022",45022,0.54,"Premium","H","VS1",60.8,61,1637,5.29,5.23,3.2
"53393",53393,0.77,"Good","D","SI2",63.8,58,2665,5.81,5.78,3.7
"4098",4098,0.84,"Very Good","G","VS2",62,56,3535,6.07,6.09,3.77
"1943",1943,0.9,"Fair","E","SI2",65.8,58,3084,6.02,5.98,3.95
"1213",1213,0.73,"Very Good","F","VS2",62.7,58,2939,5.73,5.75,3.6
"50535",50535,0.54,"Ideal","G","VS1",60.7,57,2274,5.29,5.26,3.2
"42090",42090,0.42,"Ideal","E","VVS2",61.3,56,1273,4.85,4.81,2.96
"44210",44210,0.51,"Ideal","D","SI1",61.9,54,1569,5.14,5.2,3.19
"12742",12742,1.01,"Ideal","H","VS2",60.6,57,5317,6.54,6.49,3.95
"46708",46708,0.7,"Very Good","F","SI2",63.2,59,1792,5.66,5.61,3.56
"38837",38837,0.52,"Good","G","SI2",63.1,56,1049,5.08,5.12,3.22
"5415",5415,0.85,"Ideal","D","VS2",61.9,55,3821,6.07,6.14,3.78
"33791",33791,0.32,"Ideal","G","VVS1",61.1,57,842,4.41,4.43,2.7
"38898",38898,0.42,"Ideal","H","VVS1",61.4,55,1052,4.81,4.83,2.96
"43443",43443,0.5,"Premium","E","SI1",62.3,58,1415,5.15,5.09,3.19
"28513",28513,0.4,"Very Good","G","SI1",61.7,61,673,4.63,4.68,2.87
"24128",24128,1.51,"Very Good","I","IF",62.2,62,12291,7.3,7.33,4.55
"11628",11628,1.01,"Good","D","VS1",56.8,61,5050,6.5,6.45,3.68
"48512",48512,0.54,"Ideal","H","VVS2",60.9,57,1983,5.26,5.22,3.19
"36533",36533,0.42,"Premium","G","SI1",62.2,58,945,4.75,4.73,2.95
"16250",16250,1.02,"Ideal","G","VS2",61.4,55,6499,6.48,6.51,3.99
"43657",43657,0.53,"Premium","G","VS2",59.9,60,1435,5.28,5.24,3.15
"22365",22365,0.31,"Very Good","H","VS2",60.5,63,628,4.37,4.33,2.63
"48752",48752,0.56,"Ideal","F","VS1",61.9,55,2016,5.36,5.32,3.3
"18679",18679,1.51,"Very Good","J","SI1",62.3,59,7637,7.22,7.28,4.52
"14019",14019,1.01,"Premium","G","VS2",61.1,60,5701,6.46,6.37,3.92
"14175",14175,1.11,"Premium","G","SI1",62.4,58,5750,6.65,6.61,4.14
"24416",24416,1.51,"Premium","E","SI1",58.6,62,12655,7.58,7.53,4.43
"26962",26962,1.75,"Very Good","G","VS1",59.6,60,17036,7.76,7.9,4.67
"41491",41491,0.5,"Ideal","F","SI1",60.1,56,1232,5.19,5.22,3.13
"51508",51508,0.75,"Ideal","I","SI1",61.5,58,2383,5.82,5.86,3.59
"32921",32921,0.44,"Very Good","E","SI1",62.2,60,810,4.79,4.86,3
"33892",33892,0.3,"Premium","E","VS2",62.3,58,844,4.32,4.28,2.68
"28395",28395,0.33,"Premium","H","VS2",62.3,58,668,4.41,4.38,2.74
"27254",27254,2.29,"Premium","H","SI2",62.5,58,17666,8.43,8.37,5.25
"25842",25842,1.51,"Very Good","E","VS2",60.1,58,14889,7.51,7.57,4.53
"49078",49078,0.71,"Premium","F","SI2",62.3,60,2060,5.67,5.7,3.54
"19362",19362,0.27,"Ideal","E","VVS2",62.2,55,622,4.12,4.17,2.58
"26880",26880,1.71,"Premium","G","VS1",62.7,58,16813,7.66,7.62,4.79
"29175",29175,0.3,"Ideal","F","VVS2",61.8,55,694,4.33,4.35,2.68
"7693",7693,1.08,"Very Good","I","SI1",60.5,60,4276,6.61,6.67,4.02
"1127",1127,0.8,"Very Good","H","SI1",62.5,56,2919,5.92,5.96,3.71
"48783",48783,0.52,"Very Good","E","VS1",61.8,60,2021,5.14,5.18,3.19
"16210",16210,1.02,"Good","F","VS2",63.3,59,6479,6.37,6.4,4.04
"34167",34167,0.33,"Ideal","G","VS1",61.9,56,854,4.48,4.44,2.76
"45889",45889,0.54,"Ideal","J","VVS2",61.6,57,1720,5.25,5.23,3.23
"34463",34463,0.31,"Ideal","E","VVS1",61.4,55,865,4.35,4.38,2.68
"31437",31437,0.3,"Ideal","H","IF",62,55,764,4.33,4.35,2.69
"33939",33939,0.34,"Ideal","J","VS1",62,54,464,4.52,4.55,2.81
"29640",29640,0.27,"Very Good","J","VVS2",60.8,57,443,4.16,4.2,2.54
"8465",8465,1.03,"Very Good","F","SI2",62,58,4414,6.43,6.51,4.01
"21589",21589,1.23,"Very Good","F","VS1",59.1,58,9694,7.06,7.09,4.18
"2482",2482,0.81,"Premium","G","VS2",62.9,58,3193,5.94,5.88,3.72
"8253",8253,0.93,"Good","G","SI1",63.8,58,4375,6.14,6.09,3.9
"13452",13452,1.03,"Premium","H","VS1",62,59,5523,6.45,6.48,4.01
"14021",14021,1,"Good","G","VS2",63.1,61,5702,6.33,6.38,4.01
"47059",47059,0.61,"Good","G","VS2",59.6,61.5,1821,5.47,5.52,3.27
"43859",43859,0.71,"Very Good","F","I1",63.2,55,1448,5.64,5.57,3.54
"13096",13096,1.21,"Premium","H","SI2",62.6,61,5421,6.75,6.7,4.21
"20009",20009,1.05,"Ideal","G","VVS1",60.1,57,8546,6.63,6.68,4
"9156",9156,0.9,"Good","G","VS1",63.6,58,4540,6.09,6.12,3.88
"41797",41797,0.5,"Ideal","E","SI1",60.6,57,1250,5.19,5.14,3.13
"18382",18382,0.32,"Very Good","E","VS1",61.6,56,618,4.4,4.46,2.73
"42592",42592,0.5,"Very Good","E","SI1",62.7,55,1331,5.06,5.09,3.18
"6872",6872,1.01,"Ideal","G","SI1",61.5,56,4129,6.52,6.46,3.99
"37169",37169,0.32,"Ideal","D","VS2",61.7,54,972,4.43,4.38,2.72
"9309",9309,0.94,"Ideal","D","SI1",62.3,57,4575,6.24,6.29,3.9
"2733",2733,0.91,"Ideal","F","SI2",61.1,55,3246,6.24,6.19,3.8
"52611",52611,0.81,"Very Good","G","SI2",63.4,58,2545,5.87,5.92,3.74
"48448",48448,0.7,"Premium","H","SI2",61,59,1974,5.76,5.71,3.5
"32104",32104,0.33,"Premium","D","VS2",61.2,58,781,4.41,4.44,2.71
"45679",45679,0.52,"Ideal","H","VVS1",62.4,55,1695,5.11,5.15,3.2
"49506",49506,0.61,"Good","F","VS1",60.6,60.3,2120,5.46,5.51,3.32
"11108",11108,1.03,"Premium","H","SI1",61.9,58,4932,6.49,6.43,4
"27109",27109,2.02,"Very Good","D","SI2",62.3,56,17263,7.99,8.06,5
"16226",16226,1.03,"Very Good","G","VS1",60.6,58,6487,6.48,6.55,3.95
"34189",34189,0.33,"Ideal","G","VS1",62.9,57,854,4.43,4.38,2.77
"10357",10357,1.01,"Premium","H","SI1",59.5,59,4771,6.56,6.52,3.89
"37914",37914,0.41,"Premium","D","VS2",62.4,60,1007,4.71,4.75,2.95
"10077",10077,0.31,"Very Good","F","VS1",61.8,58,592,4.29,4.35,2.67
"42897",42897,0.53,"Ideal","F","SI1",61.9,55,1360,5.19,5.21,3.22
"49792",49792,0.73,"Premium","G","SI1",62,58,2163,5.75,5.8,3.58
"34618",34618,0.27,"Ideal","E","VS2",62.7,55,470,4.15,4.18,2.61
"45326",45326,0.32,"Good","E","SI1",63.1,56,524,4.34,4.37,2.75
"12114",12114,1.25,"Premium","J","SI1",62,58,5166,6.9,6.88,4.27
"10029",10029,0.29,"Good","F","VS1",62.1,56,415,4.24,4.26,2.64
"16358",16358,0.3,"Very Good","H","VS2",63.5,59,608,4.27,4.2,2.69
"49008",49008,0.53,"Ideal","G","VVS2",61.4,57,2051,5.26,5.19,3.21
"22861",22861,1.76,"Ideal","G","SI1",62.1,56,10896,7.69,7.77,4.8
"25149",25149,1.5,"Premium","G","VS1",60.2,58,13720,7.41,7.38,4.45
"14374",14374,0.3,"Premium","G","VS1",60,60,605,4.3,4.33,2.59
"3894",3894,0.9,"Very Good","I","VS2",63.4,56,3489,6.09,6.12,3.87
"24328",24328,1.5,"Premium","E","VS2",59.4,62,12587,7.48,7.4,4.42
"29432",29432,0.38,"Premium","H","VS2",60.9,60,700,4.62,4.67,2.83
"21071",21071,1.02,"Very Good","F","VVS2",59.9,57,9246,6.54,6.59,3.93
"15962",15962,1.22,"Very Good","H","SI1",63.5,55,6387,6.78,6.73,4.29
"4962",4962,0.9,"Good","H","VS1",64,59,3734,6.01,6.05,3.86
"33590",33590,0.37,"Ideal","G","VS2",61.3,57,833,4.64,4.6,2.83
"36944",36944,0.35,"Ideal","J","VS1",61.5,56,478,4.56,4.58,2.81
"28584",28584,0.3,"Ideal","G","VS2",61.4,54,675,4.36,4.31,2.66
"48738",48738,0.5,"Very Good","F","VVS2",61,61,2013,5.09,5.11,3.11
"25480",25480,2.27,"Good","H","SI2",63.6,58,14249,8.37,8.29,5.3
"1504",1504,0.7,"Ideal","F","VS1",62.4,55,2993,5.65,5.7,3.54
"35330",35330,0.4,"Ideal","E","VS1",62.1,55,898,4.75,4.79,2.96
"25269",25269,2.06,"Premium","G","SI2",60.7,58,13908,8.18,8.25,4.99
"40900",40900,0.47,"Very Good","H","VS2",57.2,60,1178,5.18,5.21,2.97
"21433",21433,1.76,"Ideal","I","SI2",61.2,55,9540,7.76,7.79,4.76
"9912",9912,1.14,"Premium","G","SI2",61.1,59,4688,6.77,6.72,4.12
"1292",1292,0.7,"Ideal","E","VS2",62.6,57,2952,5.63,5.68,3.54
"43851",43851,0.47,"Good","E","VS1",58.3,61.2,1447,5.11,5.15,2.98
"39014",39014,0.43,"Ideal","G","VVS2",61.4,55,1056,4.83,4.88,2.98
"26705",26705,0.32,"Ideal","F","VS2",62.5,56,645,4.36,4.38,2.73
"82",82,0.26,"Very Good","D","VVS1",62.1,60,554,4.03,4.12,2.53
"35011",35011,0.4,"Ideal","F","SI1",62.1,57,882,4.69,4.65,2.9
"13879",13879,1.14,"Ideal","D","SI2",61.4,56,5650,6.77,6.69,4.13
"33076",33076,0.26,"Ideal","F","VVS1",62.7,55,814,4.1,4.07,2.56
"8694",8694,1.02,"Premium","I","VS2",62,58,4459,6.44,6.47,4
"15431",15431,1.04,"Very Good","G","VS2",61.8,56,6177,6.47,6.5,4.01
"30897",30897,0.41,"Ideal","D","SI1",61.7,56,744,4.77,4.8,2.95
"35687",35687,0.3,"Premium","D","VS2",62.6,61,911,4.25,4.22,2.65
"21394",21394,1.51,"Premium","H","SI1",62,58,9511,7.38,7.34,4.56
"32831",32831,0.33,"Ideal","E","VS1",61.5,54,806,4.46,4.49,2.75
"50249",50249,0.7,"Fair","I","VS1",60.2,66,2234,5.77,5.62,3.44
"52917",52917,0.72,"Good","F","VS2",64.1,64,2589,5.66,5.6,3.61
"36464",36464,0.31,"Ideal","D","VS2",62.2,57,942,4.34,4.31,2.69
"35483",35483,0.31,"Ideal","E","VVS1",61,57,903,4.39,4.37,2.67
"3434",3434,0.72,"Ideal","E","VS2",61.5,56,3385,5.71,5.77,3.53
"12398",12398,1.22,"Very Good","H","SI2",62.9,59,5233,6.66,6.76,4.22
"35024",35024,0.4,"Good","E","SI1",63.9,55,882,4.72,4.67,3
"44397",44397,0.5,"Very Good","E","VS2",63.4,58,1583,5.08,5.05,3.21
"51834",51834,0.7,"Very Good","H","VS1",62.1,56,2422,5.65,5.68,3.52
"5007",5007,1.03,"Fair","D","SI2",66.4,56,3743,6.31,6.19,4.15
"33087",33087,0.46,"Very Good","F","SI2",62.6,58,815,4.88,4.96,3.08
"9292",9292,1.12,"Premium","F","SI2",60.5,59,4570,6.73,6.79,4.09
"4221",4221,1,"Good","D","SI2",64,59,3569,6.24,6.29,4.01
"4688",4688,0.81,"Premium","E","VS2",61.5,58,3674,5.99,5.94,3.97
"37679",37679,0.42,"Ideal","H","VS2",62.9,56,992,4.79,4.72,2.99
"11425",11425,1,"Good","G","VS2",64.1,58,5002,6.22,6.32,4.02
"3676",3676,0.9,"Very Good","G","SI2",61.1,55,3445,6.21,6.26,3.81
"39300",39300,0.3,"Ideal","I","VS1",61.4,56,491,4.3,4.33,2.65
"52431",52431,0.7,"Very Good","E","VS2",61.7,60,2513,5.67,5.7,3.51
"11384",11384,0.34,"Premium","G","VS2",60.3,58,596,4.49,4.53,2.72
"11933",11933,1.09,"Premium","E","SI2",60.9,59,5127,6.75,6.61,4.07
"51767",51767,0.7,"Very Good","D","SI1",61,59,2409,5.67,5.7,3.47
"14457",14457,1.23,"Good","I","VS1",63.6,59,5834,6.76,6.85,4.33
"47163",47163,0.59,"Ideal","H","VVS2",61.8,56,1834,5.37,5.41,3.33
"17771",17771,1.05,"Ideal","G","VS1",61.3,57,7155,6.58,6.51,4.01
"1372",1372,0.73,"Very Good","G","VS2",62.1,59,2966,5.68,5.73,3.54
"8111",8111,1.01,"Premium","H","VS2",58.1,60,4348,6.61,6.55,3.82
"24124",24124,1.28,"Very Good","F","VVS2",58.9,57,12285,7.13,7.17,4.21
"43214",43214,0.57,"Ideal","F","SI1",61.6,56,1397,5.36,5.33,3.29
"8532",8532,1.28,"Ideal","G","I1",61.6,57,4428,6.93,6.96,4.28
"7945",7945,1,"Premium","G","SI2",61.8,58,4319,6.39,6.43,3.96
"2697",2697,0.9,"Good","G","SI2",63.8,56,3246,6.16,6.13,3.92
"23988",23988,1.13,"Ideal","D","VVS2",60.1,57,12150,6.78,6.83,4.09
"30120",30120,0.32,"Ideal","G","VS2",62,57,720,4.41,4.39,2.73
"10033",10033,0.26,"Ideal","I","VS1",62.5,53,417,4.08,4.11,2.56
"13085",13085,1.04,"Ideal","H","VS2",59.3,57,5416,6.64,6.58,3.92
"36848",36848,0.37,"Premium","F","VS2",61.2,60,957,4.63,4.59,2.82
"8665",8665,0.9,"Premium","G","SI1",62.6,57,4455,6.16,6.11,3.84
"8640",8640,1.06,"Premium","I","SI1",61.9,59,4452,6.52,6.5,4.03
"3488",3488,0.9,"Very Good","I","VS2",62.4,58,3398,6.12,6.16,3.83
"29554",29554,0.25,"Ideal","E","VVS1",61.5,55,705,4.09,4.12,2.52
"39815",39815,0.4,"Ideal","G","VVS1",61.8,56,1097,4.72,4.75,2.92
"48015",48015,0.7,"Fair","F","SI2",58.2,66,1920,5.77,5.74,3.35
"42061",42061,0.48,"Premium","H","VS1",60.7,61,1270,5.04,5.01,3.05
"19164",19164,1.2,"Ideal","G","SI1",61.2,56,7920,6.87,6.88,4.21
"53579",53579,0.7,"Fair","E","SI1",64.4,53,2697,5.61,5.57,3.6
"27131",27131,4.13,"Fair","H","I1",64.8,61,17329,10,9.85,6.43
"899",899,1,"Fair","I","SI1",66.3,61,2875,6.08,6.03,4.01
"23578",23578,1.5,"Premium","F","SI1",61.4,59,11588,7.34,7.31,4.5
"37266",37266,0.28,"Ideal","H","VS1",62.3,55,481,4.21,4.24,2.63
"33644",33644,0.38,"Ideal","H","VVS2",61.4,57,833,4.63,4.65,2.85
"326",326,0.87,"Very Good","G","SI2",59.9,58,2802,6.19,6.23,3.72
"36477",36477,0.43,"Ideal","H","VVS2",62.3,55,943,4.82,4.85,3.01
"11294",11294,1,"Very Good","H","VS2",60.7,60,4978,6.55,6.49,3.96
"10979",10979,1.01,"Ideal","H","VS2",62.1,54,4909,6.5,6.44,4.02
"9708",9708,0.32,"Very Good","I","VVS1",60.1,61,589,4.4,4.45,2.66
"45604",45604,0.71,"Premium","J","SI1",62.4,61,1690,5.68,5.63,3.53
"36784",36784,0.34,"Ideal","G","VVS1",62.1,55,956,4.49,4.46,2.78
"14383",14383,0.3,"Very Good","G","VS1",62.8,58,605,4.26,4.28,2.68
"42947",42947,0.3,"Very Good","F","SI2",63.4,56,506,4.29,4.26,2.71
"52961",52961,0.24,"Very Good","E","VVS1",63.7,57,552,3.92,3.93,2.5
"42731",42731,0.52,"Very Good","G","SI1",63.1,58,1343,5.11,5.13,3.23
"716",716,1.02,"Ideal","H","SI2",61.6,55,2856,6.49,6.43,3.98
"7142",7142,1.11,"Premium","E","SI2",61.6,61,4177,6.66,6.61,4.09
"46040",46040,0.57,"Premium","E","SI1",61.4,58,1728,5.34,5.28,3.26
"48177",48177,0.54,"Ideal","H","VVS1",60.4,55,1944,5.32,5.27,3.2
"24568",24568,2.03,"Premium","J","SI1",62.1,59,12862,8.06,8.12,5.02
"26902",26902,2.03,"Ideal","H","SI1",64.4,54,16900,7.97,7.92,5.12
"12222",12222,1,"Ideal","F","SI1",62,57,5197,6.37,6.43,3.97
"25325",25325,2.09,"Premium","G","SI2",59.8,59,14024,8.37,8.32,4.99
"52636",52636,0.24,"Very Good","F","VVS2",62.2,58,552,3.97,4.01,2.48
"4840",4840,0.9,"Very Good","I","VS2",59.9,58,3709,6.17,6.22,3.71
"39022",39022,0.43,"Very Good","F","VS1",61,57,1056,4.84,4.89,2.97
"43594",43594,0.31,"Ideal","H","VS2",61.2,56,507,4.35,4.37,2.67
"6259",6259,0.92,"Ideal","E","SI2",62.1,57,4011,6.2,6.26,3.87
"10880",10880,1.21,"Ideal","J","VS2",62.2,57,4879,6.78,6.82,4.23
"47966",47966,0.52,"Premium","D","VS2",60.6,56,1919,5.25,5.22,3.17
"37773",37773,0.41,"Ideal","E","VS2",62.1,56,999,4.76,4.74,2.95
"52055",52055,0.71,"Ideal","D","SI2",61.9,56,2452,5.78,5.73,3.56
"17118",17118,1.07,"Good","F","VS2",57.6,60,6828,6.83,6.79,3.92
"1364",1364,1.05,"Premium","E","I1",61.4,58,2964,6.53,6.46,3.99
"2507",2507,0.71,"Ideal","F","VS1",61.1,56,3199,5.71,5.74,3.5
"38731",38731,0.4,"Ideal","G","VVS1",62.4,54,1043,4.74,4.78,2.97
"44895",44895,0.5,"Very Good","E","VS2",63.4,58,1629,5.06,5.04,3.2
"9045",9045,0.3,"Ideal","F","VS1",61.5,55,587,4.33,4.35,2.67
"24850",24850,1.63,"Very Good","G","VS2",62.5,57,13253,7.46,7.49,4.67
"49465",49465,1,"Fair","I","I1",65.4,57,2112,6.28,6.2,4.08
"18207",18207,1.53,"Premium","I","SI2",62.7,62,7389,7.41,7.23,4.59
"18196",18196,1.09,"Ideal","F","VS2",60.9,54,7385,6.66,6.73,4.08
"38150",38150,0.54,"Premium","I","SI2",61.2,60,1013,5.22,5.2,3.19
"43707",43707,0.61,"Very Good","F","SI2",62.9,56.6,1437,5.38,5.45,3.4
"3998",3998,0.76,"Very Good","E","VS2",63.4,58,3517,5.76,5.82,3.67
"42098",42098,0.44,"Ideal","E","VVS2",61.8,56,1274,4.88,4.93,3.03
"50908",50908,0.7,"Good","D","SI1",64.2,60,2318,5.62,5.59,3.6
"21959",21959,1.27,"Premium","F","VS1",60.3,58,10028,7.06,7.04,4.25
"38241",38241,0.39,"Ideal","D","VVS2",60,56,1018,4.77,4.79,2.87
"32325",32325,0.36,"Ideal","E","VS2",62.1,55,789,4.54,4.58,2.83
"887",887,0.78,"Premium","F","VS2",62.6,58,2874,5.91,5.82,3.67
"38842",38842,0.39,"Fair","E","VS2",65.4,57,1049,4.61,4.54,2.99
"32227",32227,0.31,"Ideal","G","VVS1",62.5,54,789,4.34,4.37,2.72
"14654",14654,1.2,"Ideal","I","VS2",62.1,57,5914,6.78,6.71,4.19
"25092",25092,2.03,"Good","G","SI2",62.7,65,13621,8.17,7.92,5.06
"28870",28870,0.32,"Premium","F","SI1",60,59,684,4.45,4.42,2.66
"8854",8854,1,"Fair","E","VS2",66.4,51,4480,6.31,6.22,4.16
"9099",9099,1.01,"Very Good","I","SI1",63.2,54,4525,6.41,6.35,4.03
"41930",41930,0.4,"Ideal","F","VVS1",61.3,55,1263,4.75,4.78,2.92
"40227",40227,0.4,"Premium","G","VVS1",61.5,58,1123,4.69,4.74,2.9
"32480",32480,0.35,"Ideal","F","VVS2",61.9,54,795,4.55,4.59,2.83
"44319",44319,0.31,"Premium","I","VS2",59.3,59,521,4.42,4.38,2.61
"40111",40111,0.41,"Ideal","F","VVS2",61.9,55,1115,4.78,4.79,2.96
"16978",16978,1.07,"Very Good","G","VS1",61.2,55,6780,6.63,6.67,4.07
"47050",47050,0.54,"Ideal","F","VS2",61.1,57,1820,5.3,5.27,3.23
"43337",43337,0.55,"Good","E","SI1",63.1,58,1406,5.2,5.23,3.29
"7414",7414,1.07,"Premium","J","VS2",62.8,57,4224,6.54,6.49,4.09
"4464",4464,0.82,"Very Good","F","VS2",58.7,58,3621,6.1,6.2,3.61
"48114",48114,0.5,"Ideal","G","VVS2",62.8,57,1935,5.04,4.99,3.15
"7944",7944,1.02,"Ideal","F","SI2",62.4,57,4319,6.4,6.43,4
"2294",2294,0.63,"Ideal","E","VVS1",62.4,56,3161,5.48,5.52,3.43
"17330",17330,1.01,"Ideal","G","VS1",62.4,58,6951,6.43,6.39,4
"23834",23834,1.52,"Very Good","H","VS1",63.5,60,11912,7.28,7.24,4.61
"25481",25481,2.51,"Good","G","SI2",59.5,65,14251,8.87,8.74,5.24
"51052",51052,0.71,"Good","F","SI1",63.9,57,2331,5.57,5.61,3.57
"27440",27440,2.04,"Premium","F","SI2",60.2,58,18066,8.17,8.24,4.94
"29181",29181,0.3,"Ideal","F","VVS2",62.1,57,694,4.27,4.29,2.66
"30589",30589,0.31,"Ideal","D","VS2",61.5,56,734,4.35,4.37,2.68
"42558",42558,0.42,"Ideal","F","VVS1",62,55,1326,4.81,4.84,2.99
"46154",46154,0.5,"Premium","G","VS1",62.1,55,1746,5.22,5.06,3.19
"2087",2087,0.91,"Very Good","J","VS2",61.6,58,3112,6.23,6.28,3.85
"18904",18904,1.13,"Ideal","F","VS2",61.8,54,7756,6.72,6.73,4.15
"10398",10398,0.31,"Premium","G","SI1",62.6,58,593,4.34,4.29,2.7
"45449",45449,0.72,"Good","H","SI2",64.1,58,1674,5.65,5.68,3.63
"4162",4162,0.72,"Ideal","D","SI1",60.5,56,3550,5.79,5.84,3.52
"7060",7060,0.33,"Premium","I","VVS2",61,58,579,4.42,4.46,2.71
"12076",12076,1.01,"Ideal","H","SI1",61.8,54,5158,6.48,6.44,3.99
"24170",24170,1.71,"Ideal","I","VS2",61.9,54,12342,7.65,7.75,4.77
"29004",29004,0.34,"Very Good","H","VVS2",62.7,59,686,4.43,4.47,2.79
"26285",26285,2.01,"Premium","H","SI2",62.3,58,15773,8.06,8.11,5.04
"15063",15063,1.12,"Premium","H","VS2",60.6,59,6052,6.77,6.7,4.08
"35380",35380,0.41,"Premium","G","VS1",61.9,58,899,4.75,4.78,2.95
"45316",45316,0.32,"Very Good","G","VS2",60.1,61,524,4.41,4.44,2.66
"52927",52927,0.72,"Ideal","E","SI1",62.9,54,2590,5.76,5.72,3.61
"45821",45821,0.56,"Good","F","VS1",59.1,62,1712,5.36,5.42,3.19
"12547",12547,1.15,"Very Good","H","SI1",62.4,57,5270,6.68,6.71,4.18
"35536",35536,0.34,"Premium","F","VS1",60,59,905,4.59,4.55,2.74
"5168",5168,0.91,"Very Good","H","SI1",63.4,56,3771,6.18,6.1,3.89
"37275",37275,0.35,"Ideal","J","VS1",62.6,53.7,483,4.51,4.54,2.83
"37096",37096,0.41,"Ideal","E","SI1",62.5,55,969,4.77,4.73,2.97
"11390",11390,0.34,"Very Good","G","VS2",61.2,62,596,4.44,4.48,2.73
"9802",9802,0.9,"Very Good","G","VVS2",62.6,55,4668,6.12,6.19,3.85
"12438",12438,1,"Good","G","VS2",58.6,65,5242,6.61,6.53,3.85
"46307",46307,0.3,"Premium","E","SI1",62.5,59,526,4.28,4.3,2.68
"31185",31185,0.32,"Ideal","D","SI1",61.9,57,756,4.4,4.36,2.71
"31202",31202,0.32,"Premium","D","SI1",58.3,58,756,4.54,4.49,2.63
