"Cost4_A" "md_earn_wne_p10" "STATE"
"1380" 18554 41700 "IA"
"1381" 35452 36200 "IA"
"1382" 14098 31000 "IA"
"1383" 13747 38400 "IA"
"1386" 22164 39700 "IA"
"1388" 35945 44800 "IA"
"1389" 24706 43200 "IA"
"1392" 37772 45800 "IA"
"1393" 10230 26600 "IA"
"1394" 10533 30800 "IA"
"1398" 32604 40300 "IA"
"1399" 28718 36400 "IA"
"1400" 39312 43200 "IA"
"1403" 9871 29800 "IA"
"1404" 29974 41200 "IA"
"1405" 9338 29300 "KS"
"1406" 34990 48900 "KS"
"1407" 12321 30900 "KS"
"1408" 34602 37800 "KS"
"1409" 30700 38500 "KS"
"1410" 31614 37400 "KS"
"1411" 27971 26300 "KS"
"1412" 30144 26300 "KS"
"1413" 31581 29900 "KS"
"1414" 10596 31400 "KS"
"1416" 26826 31100 "KS"
"1417" 9508 30500 "KS"
"1418" 8035 29800 "KS"
"1419" 10992 31700 "KS"
"1421" 10496 30900 "KS"
"1423" 10426 31400 "KS"
"1424" 17526 23000 "KS"
"1425" 14642 35900 "KS"
"1426" 18258 27800 "KS"
"1427" 14423 37400 "KS"
"1428" 23790 26800 "KS"
"1429" 29922 41800 "KS"
"1430" 8995 26900 "KS"
"1431" 7377 32100 "KS"
"1432" 7760 23200 "KS"
"1434" 31264 35400 "KS"
"1435" 8061 33200 "KS"
"1436" 10896 31700 "KS"
"1437" 8755 24500 "KS"
"1438" 13018 34900 "KS"
"1440" 18565 30700 "KS"
"1441" 20505 44600 "KS"
"1442" 31023 41900 "KS"
"1444" 18887 43300 "KS"
"1445" 32000 36600 "KS"
"1448" 8631 30600 "KS"
"1449" 13891 36400 "KS"
"1450" 24344 30900 "KS"
"1451" 31942 35500 "KS"
"1452" 30424 39100 "KS"
"1453" 11672 31200 "KS"
"1454" 13509 36800 "KS"
"1456" 31296 40700 "KS"
"1458" 14001 38200 "KS"
"1459" 9889 31400 "KS"
"1460" 29683 39900 "KS"
"1461" 8873 28500 "KS"
"1462" 9164 30300 "KS"
"1464" 33209 44200 "KS"
"1465" 28180 32100 "KS"
"1466" 34100 34400 "KS"
"1467" 16885 37900 "KS"
"1468" 11259 27500 "KS"
"1469" 13835 39300 "KS"
"1471" 18082 33400 "KY"
"1472" 31705 34100 "KY"
"1474" 10609 24000 "KY"
"1476" 44004 44900 "KY"
"1477" 8986 34400 "KY"
"1479" 11845 29200 "KY"
"1480" 26543 36800 "KY"
"1481" 28498 32100 "KY"
"1482" 11375 22600 "KY"
"1483" 43158 45000 "KY"
"1484" 13247 27000 "KY"
"1488" 28880 33300 "KY"
"1489" 17498 33100 "KY"
"1490" 10728 27200 "KY"
"1493" 38560 43000 "KY"
"1495" 10785 21600 "KY"
"1497" 11398 24600 "KY"
"1498" 10978 26600 "KY"
"1499" 32495 23900 "KY"
"1500" 10864 26200 "KY"
"1503" 22466 20600 "KY"
"1505" 16732 26600 "KY"
"1506" 27767 36600 "KY"
"1507" 20582 41500 "KY"
"1508" 26401 28000 "KY"
"1510" 30622 28000 "KY"
"1511" 31860 33300 "KY"
"1512" 19509 37700 "KY"
"1514" 10536 26800 "KY"
"1515" 11340 22300 "KY"
"1516" 32950 38300 "KY"
"1517" 25318 36600 "KY"
"1518" 15075 31800 "KY"
"1520" 16018 35500 "KY"
"1521" 11151 26300 "KY"
"1522" 13479 36100 "KY"
"1524" 36979 22100 "KY"
"1525" 10473 27200 "KY"
"1527" 29591 30400 "KY"
"1528" 10652 23000 "KY"
"1529" 28769 25200 "KY"
"1531" 29773 31100 "KY"
"1535" 28892 25200 "KY"
"1536" 11382 25800 "KY"
"1537" 10569 22100 "KY"
"1538" 28210 40000 "KY"
"1539" 27159 30900 "KY"
"1540" 26866 30300 "KY"
"1541" 35276 45800 "KY"
"1542" 36827 41100 "KY"
"1544" 28429 32500 "KY"
"1545" 16790 34600 "KY"
"1546" 11818 27000 "LA"
"1552" 11601 27000 "LA"
"1553" 12274 29200 "LA"
"1555" 34693 39300 "LA"
"1559" 11908 28200 "LA"
"1560" 24071 17200 "LA"
"1561" 11370 27000 "LA"
"1564" 23343 34000 "LA"
"1565" 9055 24500 "LA"
"1566" 17538 28300 "LA"
"1572" 12648 30500 "LA"
"1573" 17596 45900 "LA"
"1574" 10094 31500 "LA"
"1575" 13282 36700 "LA"
"1576" 10349 27000 "LA"
"1580" 21722 39600 "LA"
"1582" 15103 41100 "LA"
"1583" 42762 41300 "LA"
"1584" 12959 36800 "LA"
"1585" 14982 38400 "LA"
"1586" 13350 35000 "LA"
"1587" 14720 35700 "LA"
"1588" 11523 27000 "LA"
"1590" 14981 35000 "LA"
"1591" 23026 39100 "LA"
"1592" 16978 44200 "LA"
"1601" 12725 28700 "LA"
"1602" 25358 22500 "LA"
"1603" 12496 27300 "LA"
"1605" 13843 35400 "LA"
"1606" 15613 31600 "LA"
"1607" 13433 29000 "LA"
"1608" 13005 22500 "LA"
"1609" 11128 37900 "LA"
"1610" 10127 27000 "LA"
"1611" 53860 52400 "LA"
"1612" 25511 46500 "LA"
"1613" 10619 27000 "LA"
"1614" 18734 34400 "ME"
"1615" 44310 27000 "ME"
"1617" 55350 53500 "ME"
"1619" 54950 54800 "ME"
"1621" 12415 33300 "ME"
"1622" 53590 53000 "ME"
"1623" 12620 30900 "ME"
"1624" 22603 37100 "ME"
"1625" 13868 29100 "ME"
"1627" 13104 26400 "ME"
"1628" 19104 33200 "ME"
"1629" 16181 31200 "ME"
"1630" 16686 27000 "ME"
"1631" 21589 38700 "ME"
"1632" 21995 74700 "ME"
"1633" 15925 27200 "ME"
"1634" 43979 44800 "ME"
"1635" 13419 29800 "ME"
"1637" 40719 23700 "ME"
"1638" 39971 37900 "ME"
"1640" 13757 37300 "ME"
"1641" 23555 36500 "ME"
"1642" 32651 36600 "ME"
"1643" 31948 36100 "ME"
"1644" 10697 26100 "ME"
"1647" 14157 30900 "MD"
"1648" 15444 38800 "MD"
"1652" 10943 29000 "MD"
"1653" 23537 58000 "MD"
"1654" 18770 47000 "MD"
"1655" 29500 58900 "MD"
"1656" 8574 31400 "MD"
"1657" 11851 37100 "MD"
"1658" 14624 27500 "MD"
"1659" 27597 46800 "MD"
"1660" 15476 37600 "MD"
"1663" 8508 32800 "MD"
"1664" 17948 43600 "MD"
"1665" 10798 27300 "MD"
"1666" 47908 45500 "MD"
"1667" 34019 34400 "MD"
"1668" 10118 31800 "MD"
"1669" 7906 34100 "MD"
"1670" 41228 43100 "MD"
"1671" 13684 37500 "MD"
"1673" 55390 69200 "MD"
"1676" 52474 62100 "MD"
"1678" 16431 50700 "MD"
"1680" 21105 53500 "MD"
"1681" 21785 59100 "MD"
"1682" 48051 31400 "MD"
"1683" 19363 37800 "MD"
"1686" 10139 40500 "MD"
"1687" 20688 39700 "MD"
"1688" 42063 50300 "MD"
"1691" 38950 48800 "MD"
"1692" 8434 40900 "MD"
"1697" 18957 47300 "MD"
"1698" 27216 48200 "MD"
"1699" 24720 34100 "MD"
"1700" 53556 34300 "MD"
"1702" 20792 49500 "MD"
"1705" 34735 51400 "MD"
"1706" 26318 26300 "MD"
"1707" 48111 48300 "MD"
"1709" 42535 44600 "MD"
"1710" 12323 27200 "MD"
"1712" 39729 42400 "MA"
"1713" 54322 56800 "MA"
"1715" 39514 42400 "MA"
"1717" 43396 52800 "MA"
"1718" 54666 85500 "MA"
"1721" 35711 41900 "MA"
"1722" 29890 32400 "MA"
"1724" 39613 35800 "MA"
"1725" 51306 74900 "MA"
"1726" 51908 30300 "MA"
"1727" 12224 28700 "MA"
"1729" 32111 41600 "MA"
"1731" 54595 67000 "MA"
"1732" 55913 27500 "MA"
"1733" 54836 60600 "MA"
"1734" 53957 58800 "MA"
"1735" 18425 41500 "MA"
"1736" 8648 27900 "MA"
"1738" 11903 33000 "MA"
"1739" 27753 36500 "MA"
"1740" 12326 26900 "MA"
"1742" 38088 56700 "MA"
"1743" 44962 44100 "MA"
"1745" 43474 43600 "MA"
"1747" 42861 32700 "MA"
"1750" 35575 44400 "MA"
"1751" 46710 44800 "MA"
"1752" 45642 42400 "MA"
"1753" 41383 42800 "MA"
"1756" 37395 28200 "MA"
"1757" 16108 42100 "MA"
"1758" 18944 43200 "MA"
"1759" 19902 39800 "MA"
"1760" 39758 41600 "MA"
"1762" 14513 27100 "MA"
"1764" 53456 30800 "MA"
"1765" 53950 87200 "MA"
"1769" 52432 63700 "MA"
"1770" 14510 29100 "MA"
"1771" 20428 30800 "MA"
"1775" 40837 40900 "MA"
"1776" 35160 66100 "MA"
"1777" 44258 36700 "MA"
"1779" 19608 48900 "MA"
"1782" 23666 34600 "MA"
"1783" 23131 49600 "MA"
"1784" 18388 45800 "MA"
"1785" 15144 37300 "MA"
"1786" 40719 116400 "MA"
"1787" 23381 34000 "MA"
"1788" 53210 91600 "MA"
"1789" 24262 79500 "MA"
"1793" 11270 30600 "MA"
"1794" 42447 55400 "MA"
"1796" 8091 33400 "MA"
"1797" 34601 25100 "MA"
"1798" 53936 44100 "MA"
"1799" 39665 34700 "MA"
"1800" 11461 29500 "MA"
"1802" 48941 31600 "MA"
"1805" 50345 29500 "MA"
"1809" 43256 29300 "MA"
"1810" 37572 38300 "MA"
"1811" 41028 47100 "MA"
"1812" 18374 36400 "MA"
"1814" 11941 29200 "MA"
"1815" 39257 34900 "MA"
"1816" 52117 60100 "MA"
"1817" 10732 29300 "MA"
"1818" 37327 43700 "MA"
"1819" 35355 34700 "MA"
"1821" 16633 38400 "MA"
"1822" 12740 32300 "MA"
"1824" 44381 43300 "MA"
"1825" 5102 32800 "MA"
"1827" 19496 40400 "MA"
"1829" 49244 51400 "MA"
"1830" 54677 38200 "MA"
"1831" 54212 42700 "MA"
"1833" 42905 45100 "MA"
"1834" 12867 30200 "MA"
"1835" 21918 44800 "MA"
"1836" 47275 58800 "MA"
"1837" 43520 49900 "MA"
"1839" 55000 67800 "MA"
"1840" 54000 56700 "MA"
"1841" 38140 54600 "MA"
"1842" 42517 55100 "MA"
"1843" 18035 43300 "MA"
"1844" 53264 46400 "MA"
"1845" 41775 36400 "MA"
"1846" 54921 58100 "MA"
"1847" 52111 77600 "MA"
"1848" 17217 43700 "MA"
"1849" 36122 36500 "MI"
"1850" 41528 45100 "MI"
"1853" 38602 44700 "MI"
"1854" 7154 27700 "MI"
"1855" 30636 36000 "MI"
"1856" 31433 38100 "MI"
"1857" 17730 26500 "MI"
"1858" 17900 26500 "MI"
"1859" 10850 27800 "MI"
"1861" 36470 40900 "MI"
"1863" 16547 29800 "MI"
"1865" 20022 40000 "MI"
"1866" 9940 24900 "MI"
"1868" 25406 50500 "MI"
"1869" 31639 39000 "MI"
"1871" 42860 40600 "MI"
"1872" 24558 29900 "MI"
"1874" 8796 28100 "MI"
"1877" 18671 41600 "MI"
"1878" 42557 42200 "MI"
"1879" 29283 22800 "MI"
"1880" 26530 22800 "MI"
"1881" 18383 37300 "MI"
"1882" 20845 40300 "MI"
"1884" 9932 24900 "MI"
"1885" 44254 74900 "MI"
"1886" 11380 26700 "MI"
"1888" 31419 35600 "MI"
"1890" 7440 28200 "MI"
"1891" 19873 39100 "MI"
"1892" 23187 29100 "MI"
"1893" 8026 29200 "MI"
"1894" 36960 43300 "MI"
"1895" 26549 38400 "MI"
"1896" 10093 29100 "MI"
"1898" 44988 49400 "MI"
"1899" 9854 28700 "MI"
"1900" 9119 28800 "MI"
"1901" 8441 25400 "MI"
"1903" 12845 24600 "MI"
"1904" 18652 35700 "MI"
"1905" 10265 29600 "MI"
"1906" 36280 53700 "MI"
"1908" 9415 30000 "MI"
"1909" 21093 36500 "MI"
"1910" 24700 26800 "MI"
"1911" 24138 34500 "MI"
"1912" 24065 57900 "MI"
"1914" 21403 49800 "MI"
"1915" 24119 60100 "MI"
"1916" 14232 47400 "MI"
"1917" 14812 40100 "MI"
"1918" 8517 27400 "MI"
"1919" 7255 26400 "MI"
"1920" 12544 27300 "MI"
"1922" 18185 26500 "MI"
"1923" 7475 25800 "MI"
"1926" 5506 25100 "MI"
"1927" 16934 34800 "MI"
"1929" 11350 28200 "MI"
"1930" 30207 44600 "MI"
"1931" 8903 29600 "MI"
"1932" 17405 42600 "MI"
"1933" 29197 34100 "MI"
"1935" 25575 29000 "MI"
"1940" 16353 37800 "MI"
"1941" 8061 31000 "MI"
"1942" 28375 38100 "MI"
"1943" 9734 29300 "MI"
"1944" 11849 25000 "MI"
"1946" 29998 40400 "MI"
"1947" 20625 14600 "MI"
"1948" 27418 26600 "MI"
"1952" 10558 27200 "MI"
"1953" 9648 24000 "MI"
"1954" 17388 41500 "MI"
"1955" 5974 24300 "MI"
"1956" 21026 42700 "MI"
"1959" 23206 38300 "MN"
"1960" 18141 35600 "MN"
"1962" 18637 37200 "MN"
"1963" 15086 36500 "MN"
"1964" 38672 44800 "MN"
"1965" 13464 32000 "MN"
"1967" 16749 37300 "MN"
"1968" 30384 34000 "MN"
"1969" 39113 44000 "MN"
"1971" 14383 32000 "MN"
"1972" 54265 46100 "MN"
"1973" 36590 41200 "MN"
"1974" 36443 45300 "MN"
"1975" 18208 34400 "MN"
"1976" 19450 40400 "MN"
"1977" 16851 34000 "MN"
"1979" 27060 25500 "MN"
"1980" 14906 32900 "MN"
"1981" 30277 31100 "MN"
"1982" 14270 32400 "MN"
"1983" 43800 50100 "MN"
"1984" 40152 46900 "MN"
"1986" 17198 33900 "MN"
"1988" 12530 34600 "MN"
"1990" 19033 38400 "MN"
"1991" 14434 30300 "MN"
"1992" 34919 33000 "MN"
"1994" 50984 45700 "MN"
"1995" 14960 32300 "MN"
"1996" 16086 42700 "MN"
"2000" 25408 38200 "MN"
"2002" 18606 43600 "MN"
"2003" 22404 47800 "MN"
"2004" 19744 39900 "MN"
"2005" 18180 35100 "MN"
"2006" 41369 31400 "MN"
"2007" 18380 32800 "MN"
"2008" 23750 42300 "MN"
"2010" 24926 27900 "MN"
"2011" 21200 43300 "MN"
"2012" 21646 38800 "MN"
"2013" 31550 35700 "MN"
"2015" 16339 37000 "MN"
"2016" 19683 36600 "MN"
"2017" 23092 37800 "MN"
"2018" 27861 33700 "MN"
"2019" 17491 37000 "MN"
"2020" 25601 29600 "MN"
"2021" 12783 34500 "MN"
"2022" 29820 43200 "MN"
"2023" 35244 35300 "MN"
"2024" 18942 42500 "MN"
"2025" 24743 25500 "MN"
"2027" 15612 26900 "MN"
"2028" 12100 27200 "MN"
"2029" 18360 35000 "MN"
"2030" 43198 47600 "MN"
"2031" 12005 35600 "MN"
"2033" 16426 40800 "MN"
"2034" 41920 55900 "MN"
"2035" 35622 41600 "MN"
"2036" 47200 44800 "MN"
"2037" 32833 31600 "MN"
"2038" 38736 47500 "MN"
"2039" 43739 54300 "MN"
"2040" 32078 30400 "MN"
"2042" 40754 45300 "MN"
"2043" 24645 31300 "MN"
"2044" 14417 31500 "MN"
"2045" 17876 35600 "MN"
"2048" 13771 31600 "MN"
"2049" 27227 46400 "MN"
"2050" 12579 32300 "MN"
"2051" 17948 32800 "MN"
"2052" 19399 41900 "MN"
"2054" 16765 35000 "MN"
"2055" 16724 30600 "MS"
"2056" 31485 37900 "MS"
"2057" 16153 31300 "MS"
"2059" 5862 20700 "MS"
"2060" 25539 22700 "MS"
"2061" 7934 25700 "MS"
"2064" 15776 33800 "MS"
"2065" 9206 27200 "MS"
"2066" 8197 25700 "MS"
"2069" 10734 25400 "MS"
"2070" 10294 28300 "MS"
"2071" 11992 27200 "MS"
"2072" 17971 29500 "MS"
"2073" 9880 26700 "MS"
"2074" 10863 24200 "MS"
"2075" 40205 45200 "MS"
"2076" 7946 23900 "MS"
"2077" 19210 40600 "MS"
"2079" 13843 34800 "MS"
"2080" 15360 22400 "MS"
"2081" 24086 38200 "MS"
"2083" 10632 28400 "MS"
"2084" 19198 39600 "MS"
"2085" 11294 29300 "MS"
"2086" 7208 26900 "MS"
"2087" 5143 28100 "MS"
"2088" 13384 22900 "MS"
"2090" 10215 25600 "MS"
"2091" 17614 36200 "MS"
"2093" 19298 29500 "MS"
"2095" 23021 34100 "MS"
"2099" 32856 41600 "MO"
"2100" 25749 38400 "MO"
"2101" 15560 29500 "MO"
"2104" 24258 43800 "MO"
"2105" 17400 30600 "MO"
"2107" 27493 28100 "MO"
"2108" 19220 28700 "MO"
"2109" 29680 33400 "MO"
"2110" 16405 36600 "MO"
"2113" 36280 37800 "KS"
"2115" 18097 37600 "MO"
"2118" 23063 27400 "MO"
"2120" 9353 26500 "MO"
"2121" 33124 36100 "MO"
"2122" 29905 46500 "MO"
"2123" 29481 32200 "MO"
"2124" 10197 26700 "MO"
"2127" 24290 32000 "MO"
"2128" 31820 34000 "MO"
"2129" 31704 40200 "MO"
"2132" 11204 27500 "MO"
"2133" 25266 33900 "MO"
"2134" 14207 27900 "MO"
"2135" 25316 30500 "MO"
"2138" 10079 28900 "MO"
"2141" 43975 25800 "MO"
"2147" 13760 30300 "MO"
"2148" 35882 39700 "MO"
"2149" 13780 36400 "MO"
"2151" 5006 29400 "MO"
"2152" 20463 46900 "MO"
"2153" 5279 29400 "MO"
"2154" 35306 44500 "MO"
"2156" 15931 21500 "MO"
"2159" 11031 25800 "MO"
"2160" 27532 32400 "IL"
"2161" 33354 33100 "MO"
"2163" 20683 24600 "MO"
"2165" 13151 32800 "MO"
"2166" 21086 37300 "MO"
"2167" 27813 33400 "MO"
"2168" 15791 32400 "MO"
"2169" 21288 46000 "MO"
"2170" 24715 43100 "MO"
"2171" 21230 65500 "MO"
"2172" 23900 40400 "MO"
"2173" 10106 27800 "MO"
"2180" 18472 42700 "MO"
"2181" 16288 38900 "MO"
"2182" 17521 28200 "MO"
"2183" 25236 31700 "MO"
"2184" 18934 43900 "MO"
"2185" 22464 26200 "MO"
"2186" 6049 29400 "MO"
"2188" 22491 46500 "MO"
"2190" 39863 47600 "MO"
"2192" 15314 23000 "MO"
"2193" 49386 55200 "MO"
"2195" 23254 29300 "MO"
"2198" 26266 29700 "MO"
"2199" 36463 111600 "MO"
"2200" 11516 27800 "MO"
"2202" 26379 32800 "MO"
"2203" 15470 25400 "MO"
"2206" 25784 21900 "MO"
"2207" 9399 29200 "MO"
"2208" 39130 30700 "MO"
"2209" 15659 36000 "MO"
"2210" 17250 37200 "MO"
"2211" 11284 26400 "MO"
"2212" 11520 27700 "MO"
"2216" 56930 62300 "MO"
"2217" 34832 39400 "MO"
"2218" 30043 26600 "MO"
"2219" 31020 41500 "MO"
"2220" 40721 40300 "MO"
"2221" 31400 34200 "MO"
"2223" 14002 15800 "MT"
"2225" 13876 39800 "MT"
"2227" 35035 44000 "MT"
"2228" 11606 30800 "MT"
"2229" 6181 16800 "MT"
"2230" 14849 32500 "MT"
"2231" 12586 25000 "MT"
"2232" 12466 20300 "MT"
"2233" 11190 16300 "MT"
"2234" 12216 26600 "MT"
"2235" 34409 31000 "MT"
"2236" 13879 31000 "MT"
"2237" 12234 11800 "MT"
"2238" 9620 27200 "MT"
"2240" 17136 39800 "MT"
"2241" 17627 39700 "MT"
"2242" 18600 34100 "MT"
"2243" 16446 35300 "MT"
"2244" 31778 38200 "MT"
"2245" 11703 24100 "MT"
"2246" 14275 31700 "MT"
"2248" 9495 52200 "NE"
"2249" 22552 48100 "NE"
"2250" 22995 50500 "NE"
"2251" 9423 28000 "NE"
"2252" 13851 37500 "NE"
"2254" 30935 36600 "NE"
"2255" 43622 57800 "NE"
"2256" 31930 42300 "NE"
"2257" 25045 33400 "NE"
"2258" 32766 40400 "NE"
"2261" 17384 38800 "NE"
"2262" 28759 34400 "NE"
"2263" 21156 43900 "NE"
"2264" 10722 28300 "NE"
"2265" 9113 29400 "NE"
"2266" 32754 40100 "NE"
"2267" 21550 23800 "NE"
"2268" 15359 41800 "NE"
"2269" 29677 34400 "NE"
"2270" 9319 17400 "NE"
"2272" 34174 45500 "NE"
"2273" 18698 43800 "NE"
"2274" 10587 33000 "NE"
"2275" 13467 35800 "NE"
"2276" 34906 35800 "NE"
"2277" 8343 35200 "NE"
"2278" 29488 33300 "NE"
"2279" 22153 33300 "NE"
"2280" 14622 43800 "NE"
"2281" 13944 36400 "NE"
"2283" 10517 26500 "NE"
"2284" 24678 32300 "NE"
"2287" 10090 31900 "NV"
"2288" 33457 25200 "NV"
"2289" 31587 24800 "NV"
"2291" 14825 43500 "NV"
"2292" 19159 45500 "NV"
"2293" 11238 32000 "NV"
"2295" 29211 45400 "NV"
"2296" 39515 42500 "NV"
"2297" 12305 32500 "NV"
"2298" 11525 28400 "NV"
"2299" 46718 38600 "NH"
"2301" 28490 51900 "NH"
"2302" 55386 67100 "NH"
"2305" 42100 38000 "NH"
"2307" 28279 30900 "NH"
"2313" 41237 35600 "NH"
"2315" 38828 41800 "NH"
"2317" 26606 47300 "NH"
"2318" 20802 39900 "NH"
"2319" 18700 47300 "NH"
"2320" 21476 37700 "NH"
"2321" 22070 37700 "NH"
"2322" 20202 31000 "NH"
"2325" 14918 33300 "NH"
"2326" 15223 34500 "NH"
"2329" 35476 42800 "NH"
"2330" 45209 55300 "NH"
"2331" 28132 41400 "NH"
"2332" 14504 32100 "NH"
"2334" 28777 24900 "NH"
"2336" 14568 28800 "NJ"
"2338" 11379 35500 "NJ"
"2339" 31399 36600 "NJ"
"2341" 33802 39000 "NJ"
"2342" 11103 32900 "NJ"
"2343" 11349 34600 "NJ"
"2344" 34943 46200 "NJ"
"2345" 10204 31900 "NJ"
"2346" 38624 41600 "NJ"
"2351" 33813 33600 "NJ"
"2354" 10065 40200 "NJ"
"2355" 12593 31600 "NJ"
"2356" 27803 46500 "NJ"
"2359" 53260 50900 "NJ"
"2362" 8553 31000 "NJ"
"2364" 40049 46800 "NJ"
"2365" 38499 41400 "NJ"
"2366" 46831 46800 "NJ"
"2368" 36153 45700 "NJ"
"2369" 24586 48800 "NJ"
"2370" 9994 34200 "NJ"
"2373" 31676 34800 "NJ"
"2374" 28074 66400 "NJ"
"2375" 12515 28500 "NJ"
"2376" 16714 41900 "NJ"
"2378" 23725 46800 "NJ"
"2382" 8017 33700 "NJ"
"2383" 10091 36200 "NJ"
"2384" 38879 50300 "NJ"
"2385" 21105 48700 "NJ"
"2387" 31974 66900 "NJ"
"2392" 25377 65300 "NJ"
"2393" 11897 31700 "NJ"
"2397" 11611 26700 "NJ"
"2400" 52715 75100 "NJ"
"2401" 21000 25800 "NJ"
"2402" 25998 48700 "NJ"
"2404" 44954 48100 "NJ"
"2406" 18138 54800 "NJ"
"2407" 26511 54800 "NJ"
"2408" 22424 54800 "NJ"
"2411" 38367 44500 "NJ"
"2412" 9366 25800 "NJ"
"2413" 45939 53300 "NJ"
"2415" 39926 44900 "NJ"
"2416" 8161 38300 "NJ"
"2417" 53661 82800 "NJ"
"2418" 27008 46800 "NJ"
"2422" 26874 56800 "NJ"
"2424" 12013 32300 "NJ"
"2426" 20346 44300 "NJ"
"2428" 14388 30200 "NM"
"2429" 10770 19400 "NM"
"2431" 7582 33800 "NM"
"2432" 12170 25800 "NM"
"2433" 13945 30200 "NM"
"2434" 11378 30200 "NM"
"2435" 14169 21300 "NM"
"2436" 15668 35100 "NM"
"2437" 11880 28100 "NM"
"2438" 12506 39100 "NM"
"2439" 11114 35900 "NM"
"2440" 15815 52800 "NM"
"2441" 11589 35900 "NM"
"2442" 15722 35900 "NM"
"2443" 7118 33800 "NM"
"2444" 6516 33800 "NM"
"2445" 7390 33800 "NM"
"2446" 16822 33800 "NM"
"2447" 10948 35900 "NM"
"2448" 9658 27400 "NM"
"2449" 11195 30700 "NM"
"2450" 14454 30700 "NM"
"2451" 42447 36200 "NM"
"2452" 21290 40600 "NM"
"2454" 13497 20500 "NM"
"2455" 14279 35900 "NM"
"2456" 16227 18200 "NM"
"2457" 14019 31200 "NM"
"2458" 30054 50000 "NY"
"2459" 38892 50600 "NY"
"2460" 9514 32300 "NY"
"2461" 27146 29100 "NY"
"2462" 21504 22300 "NY"
"2463" 37807 110600 "NY"
"2466" 39737 42300 "NY"
"2469" 39284 30200 "NY"
"2470" 18595 36400 "NY"
"2472" 40723 25300 "NY"
"2475" 18310 11300 "NY"
"2478" 56180 35700 "NY"
"2479" 55789 57400 "NY"
"2481" 31382 39100 "NY"
"2486" 24725 29900 "NY"
"2487" 17256 28800 "NY"
"2488" 26042 39000 "NY"
"2492" 8888 31000 "NY"
"2493" 21468 22300 "NY"
"2494" 21537 22300 "NY"
"2495" 22847 22300 "NY"
"2496" 21974 22300 "NY"
"2497" 21887 22300 "NY"
"2498" 29874 28300 "NY"
"2499" 40095 45700 "NY"
"2501" 37190 88700 "NY"
"2502" 11054 30400 "NY"
"2503" 38306 31900 "NY"
"2504" 21477 22200 "NY"
"2508" 49466 68400 "NY"
"2509" 10688 29500 "NY"
"2512" 54030 61500 "NY"
"2513" 28666 37300 "NY"
"2514" 56681 72900 "NY"
"2515" 9431 31700 "NY"
"2517" 34941 45300 "NY"
"2521" 52069 53700 "NY"
"2522" 54667 70900 "NY"
"2524" 9780 31000 "NY"
"2525" 14814 58500 "NY"
"2526" 43940 41600 "NY"
"2527" 13407 54000 "NY"
"2528" 11793 34900 "NY"
"2529" 12211 31900 "NY"
"2530" 12210 44500 "NY"
"2531" 12567 41600 "NY"
"2532" 13007 44500 "NY"
"2534" 11487 29800 "NY"
"2535" 12774 44800 "NY"
"2536" 11599 43700 "NY"
"2537" 11144 35300 "NY"
"2538" 11340 33000 "NY"
"2539" 11725 41500 "NY"
"2540" 13300 35900 "NY"
"2541" 12368 37700 "NY"
"2542" 12104 48000 "NY"
"2543" 11162 35900 "NY"
"2545" 12793 38200 "NY"
"2547" 30997 48300 "NY"
"2548" 29951 42900 "NY"
"2550" 33563 51000 "NY"
"2551" 33313 43000 "NY"
"2552" 8343 31600 "NY"
"2554" 22092 22700 "NY"
"2555" 48550 43600 "NY"
"2556" 8725 31800 "NY"
"2557" 16052 44100 "NY"
"2558" 13411 29800 "NY"
"2559" 29939 33800 "NY"
"2560" 52775 55400 "NY"
"2562" 12252 28500 "NY"
"2565" 11241 29700 "NY"
"2566" 24593 13800 "NY"
"2567" 22719 13800 "NY"
"2568" 53560 57300 "NY"
"2569" 45259 46100 "NY"
"2571" 12575 30300 "NY"
"2572" 24676 39000 "NY"
"2573" 54168 48600 "NY"
"2574" 45399 53200 "NY"
"2575" 36527 39200 "NY"
"2576" 13432 36200 "NY"
"2578" 13110 42400 "NY"
"2580" 40877 52700 "NY"
"2582" 25465 41300 "NY"
"2583" 48779 50400 "NY"
"2584" 12465 29300 "NY"
"2585" 18431 23200 "NY"
"2586" 9419 30100 "NY"
"2588" 48670 30100 "NY"
"2589" 18940 34100 "NY"
"2591" 38193 43300 "NY"
"2593" 41227 48900 "NY"
"2594" 40500 48800 "NY"
"2595" 39005 46000 "NY"
"2596" 41084 46000 "NY"
"2599" 19460 17600 "NY"
"2604" 25367 30200 "NY"
"2605" 38593 63600 "NY"
"2606" 49895 22700 "NY"
"2607" 48383 46300 "NY"
"2608" 16814 40600 "NY"
"2610" 43066 54400 "NY"
"2612" 40784 39500 "NY"
"2613" 30068 38200 "NY"
"2616" 27586 38000 "NY"
"2622" 21499 22100 "NY"
"2623" 10948 14100 "NY"
"2625" 12328 30300 "NY"
"2626" 31864 57500 "NY"
"2627" 20956 27700 "NY"
"2628" 21079 27700 "NY"
"2629" 10768 31200 "NY"
"2630" 35877 47600 "NY"
"2632" 34741 51900 "NY"
"2634" 11110 36800 "NY"
"2635" 38545 43900 "NY"
"2637" 40812 37400 "NY"
"2638" 53003 39400 "NY"
"2646" 55412 58800 "NY"
"2647" 8225 31000 "NY"
"2648" 36942 44000 "NY"
"2650" 13094 27000 "NY"
"2652" 36052 49400 "NY"
"2653" 32438 37200 "NY"
"2654" 32076 38100 "NY"
